S. No.,University Name,College Name,College Type,State Name,District Name,,,,,
588,"Alagappa University, Alagappa Nagar, Karaikudi (Id: U-0435)",Alagappa Government Arts College, Karaikudi ,Affiliated College,Tamil Nadu,Sivaganga,,,,
589,"Alagappa University, Alagappa Nagar, Karaikudi (Id: U-0435)",ALAGAPPA UNIVERSITY CONSTITUENT COLLEGE,Constituent / University College,Tamil Nadu,Ramanathapuram,,,,,
590,"Alagappa University, Alagappa Nagar, Karaikudi (Id: U-0435)",ALAGAPPA UNIVERSITY EVENING COLLEGE, PARAMAKKUDI ,Affiliated College,Tamil Nadu,Ramanathapuram,,,,
591,"Alagappa University, Alagappa Nagar, Karaikudi (Id: U-0435)",ALAGAPPA UNIVERSITY EVENING COLLEGE, RAMANATHAPURAM ,Affiliated College,Tamil Nadu,Ramanathapuram,,,,
592,"Alagappa University, Alagappa Nagar, Karaikudi (Id: U-0435)",ALAGAPPA UNIVERSITY EVENING COLLEGE, RAMESWARAM ,Affiliated College,Tamil Nadu,Ramanathapuram,,,,
593,"Alagappa University, Alagappa Nagar, Karaikudi (Id: U-0435)",ALAGAPPA UNIVERSITY EVENING COLLEGE, THIRUPPUVANAM ,Affiliated College,Tamil Nadu,Ramanathapuram,,,,
594,"Alagappa University, Alagappa Nagar, Karaikudi (Id: U-0435)",ALAGAPPA UNIVERSITY EVENING COLLEGE, THONDI,Affiliated College,Tamil Nadu,Ramanathapuram,,,,
595,"Alagappa University, Alagappa Nagar, Karaikudi (Id: U-0435)",Ananda College," Devakottai""",Affiliated College,Tamil Nadu,Sivaganga,,,,
596,"Alagappa University, Alagappa Nagar, Karaikudi (Id: U-0435)",Arumugam Pillai Seethaiammal College, Tiruppathur ,Affiliated College,Tamil Nadu,Sivaganga,,,,
597,"Alagappa University, Alagappa Nagar, Karaikudi (Id: U-0435)",Caussanel College of Arts and Science, Muthuppettai ,Affiliated College,Tamil Nadu,Ramanathapuram,,,,
598,"Alagappa University, Alagappa Nagar, Karaikudi (Id: U-0435)",Dr. Umayal Ramanathan College for Women, Karaikudi ,Affiliated College,Tamil Nadu,Sivaganga,,,,
599,"Alagappa University, Alagappa Nagar, Karaikudi (Id: U-0435)",Dr.Zakir Hussain College, Ilayangudi,Affiliated College,Tamil Nadu,Ramanathapuram,,,,
600,"Alagappa University, Alagappa Nagar, Karaikudi (Id: U-0435)",Government Arts College for Women, Ramanathapuram ,Affiliated College,Tamil Nadu,Ramanathapuram,,,,
601,"Alagappa University, Alagappa Nagar, Karaikudi (Id: U-0435)",Government Arts College for Women," Sivaganga """,Affiliated College,Tamil Nadu,Sivaganga,,,,
602,"Alagappa University, Alagappa Nagar, Karaikudi (Id: U-0435)",Government Arts College, Paramakudi,Affiliated College,Tamil Nadu,Ramanathapuram,,,,
603,"Alagappa University, Alagappa Nagar, Karaikudi (Id: U-0435)",Idhaya College for Women, Sarugani ,Affiliated College,Tamil Nadu,Sivaganga,,,,
604,"Alagappa University, Alagappa Nagar, Karaikudi (Id: U-0435)",Madurai Sivakasi Nadar Pioneer Meenaksmi Women college," Poovanthi (Id: C-28534)""",Affiliated College,Tamil Nadu,Sivaganga,,,,
